activity_id,data,nome,tipo,duracao_s,distancia_m,calorias,fc_media,fc_maxima,velocidade_media,velocidade_maxima,elevacao_ganho,efeito_aerobico,efeito_anaerobico,carga_atividade,label_efeito,min_moderados,min_vigorosos,body_battery_impacto,temperatura_min,temperatura_max,local,hr_zona_1_s,hr_zona_2_s,hr_zona_3_s,hr_zona_4_s,hr_zona_5_s
22770699631,2026-05-05,São Vicente - Cycling Threshold,cycling,2529.903076171875,17484.630859375,461.0,140.0,172.0,6.910999774932862,8.668000221252441,11.0,3.200000047683716,0.8999999761581421,98.87274169921875,AEROBIC_BASE,12,30,-11,22.0,28.0,São Vicente,470.339,793.114,589.268,646.148,0.0
22766043839,2026-05-04,Strength,strength_training,1542.06298828125,0.0,116.0,95.0,124.0,0.0,,,0.30000001192092896,0.0,3.7003631591796875,UNKNOWN,11,0,-2,,,,480.962,4.0,0.0,0.0,0.0
22765786027,2026-05-04,São Vicente Running,running,1856.5660400390625,4246.97998046875,273.0,121.0,129.0,2.2880001068115234,2.753000020980835,1.0,1.600000023841858,0.0,18.377609252929688,RECOVERY,11,18,-4,29.0,30.0,São Vicente,698.45,1141.84,0.0,0.0,0.0
22737759029,2026-05-02,São José dos Campos Running,running,4178.64599609375,11006.2802734375,701.0,128.0,159.0,2.6340000629425044,3.9189999103546147,108.0,2.5999999046325684,0.0,53.08955383300781,AEROBIC_BASE,7,72,-17,28.0,34.0,São José dos Campos,954.993,2922.743,255.995,0.0,0.0
22726150175,2026-05-01,São Vicente Cycling,cycling,1620.9010009765625,9671.8203125,175.0,108.0,127.0,5.9670000076293945,7.370999813079835,13.0,0.699999988079071,0.0,8.94775390625,RECOVERY,26,0,-3,25.0,29.0,São Vicente,1399.974,186.18,0.0,0.0,0.0
22711325118,2026-04-30,São Vicente Cycling,cycling,5400.869140625,33892.640625,586.0,115.0,143.0,6.275000095367432,9.265000343322754,60.0,2.0,0.0,26.728240966796875,AEROBIC_BASE,75,8,-14,24.0,29.0,São Vicente,2783.527,2571.07,0.0,0.0,0.0
22699789587,2026-04-29,Pool Swim,lap_swimming,2733.26806640625,1225.0,355.0,121.0,160.0,0.6970000267028809,1.6940000057220461,,2.299999952316284,2.0999999046325684,68.46954345703125,RECOVERY,26,13,,,,,1474.746,901.449,160.008,0.0,0.0
22699262329,2026-04-29,São Vicente Running,running,1686.68994140625,3559.570068359375,220.0,108.0,117.0,2.109999895095825,2.7060000896453853,0.0,1.100000023841858,0.0,12.596328735351562,RECOVERY,23,0,-6,28.0,30.0,São Vicente,1629.568,0.0,0.0,0.0,0.0
22686878888,2026-04-28,São Vicente Cycling,cycling,2552.863037109375,17370.720703125,450.0,134.0,169.0,6.803999900817872,8.267000198364258,56.0,3.0,0.20000000298023224,73.24491882324219,AEROBIC_BASE,14,28,-12,23.0,29.0,São Vicente,639.353,762.651,972.696,141.084,0.0
22682881420,2026-04-27,Strength,strength_training,1995.79296875,0.0,114.0,84.0,116.0,0.0,,,0.20000000298023224,0.0,3.2377777099609375,UNKNOWN,12,0,-3,,,,509.0,0.0,0.0,0.0,0.0
22665178086,2026-04-26,São Vicente Running,running,3753.47705078125,12005.0498046875,790.0,150.0,174.0,3.197999954223633,4.01200008392334,7.0,3.799999952316284,0.0,143.12860107421875,AEROBIC_BASE,1,62,-15,28.0,32.0,São Vicente,76.913,1704.708,1965.788,0.0,0.0
22665175332,2026-04-26,São Vicente Running,running,580.1480102539062,1504.0899658203125,95.0,117.0,125.0,2.5929999351501465,2.9019999504089355,0.0,1.0,0.0,11.417190551757812,RECOVERY,1,8,-2,28.0,30.0,São Vicente,401.003,159.335,0.0,0.0,0.0
22657681039,2026-04-25,Pool Swim,lap_swimming,3271.52392578125,1425.0,387.0,117.0,145.0,0.7149999737739563,1.4190000295639038,,1.899999976158142,0.0,22.575637817382812,AEROBIC_BASE,39,12,,,,,1895.175,1150.585,0.0,0.0,0.0
22651942102,2026-04-25,São Vicente Cycling,cycling,7200.8759765625,45332.44140625,715.0,113.0,134.0,6.295000076293946,7.847000122070313,36.0,2.0999999046325684,0.0,28.187591552734375,AEROBIC_BASE,111,0,-15,24.0,28.0,São Vicente,6393.692,630.284,0.0,0.0,0.0
