data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-11-28,412.0,126.0,220.0,66.0,1.0,0,,79,FAIR,16,FAIR,31,EXCELLENT,53,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,49.0,46,12.0,8.0,17.0,18.0,67,480,520,NO_CHANGE,INCREASING
2025-11-29,501.0,74.0,336.0,91.0,3.0,0,,87,GOOD,18,FAIR,15,FAIR,67,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_CONTINUOUS,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_MODERATE_DURING_DAY_OUTDOOR,,,52.0,47,12.0,8.0,16.0,17.0,70,480,510,NO_CHANGE,INCREASING
2025-11-30,414.8,118.0,285.0,12.0,13.0,1,,61,FAIR,3,POOR,28,EXCELLENT,69,FAIR,FAIR,GOOD,NEGATIVE_NOT_ENOUGH_REM,RHYTHM_NEG_FAIR_SLEEP_REALLY_LATE_TIMING,,,58.0,51,14.0,8.0,21.0,24.0,44,480,480,NO_CHANGE,NO_CHANGE
2025-12-01,483.0,64.0,371.0,48.0,0.0,0,,78,FAIR,10,POOR,13,FAIR,77,EXCELLENT,FAIR,EXCELLENT,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,GENERAL_NEG_FAIR_OR_POOR_SLEEP,,,54.0,49,13.0,9.0,19.0,21.0,62,480,530,NO_CHANGE,INCREASING
2025-12-02,410.0,82.0,271.0,57.0,10.0,1,,80,GOOD,14,FAIR,20,EXCELLENT,66,FAIR,EXCELLENT,EXCELLENT,POSITIVE_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,50.0,47,12.0,7.0,17.0,13.0,63,480,480,NO_CHANGE,NO_CHANGE
2025-12-03,446.5,64.0,325.0,58.0,13.0,1,,78,FAIR,13,FAIR,14,FAIR,73,GOOD,FAIR,GOOD,POSITIVE_LONG_AND_CALM,MOD_EXERCISE_POS_FAIR_SLEEP_MOD_TO_VIG_DURING_DAY_OUTDOOR,,,54.0,50,13.0,7.0,19.0,21.0,57,480,480,NO_CHANGE,NO_CHANGE
2025-12-04,424.0,121.0,225.0,78.0,2.0,0,,78,FAIR,18,FAIR,29,EXCELLENT,53,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,54.0,49,13.0,8.0,20.0,22.0,55,480,480,NO_CHANGE,NO_CHANGE
2025-12-05,407.0,65.0,268.0,74.0,5.0,0,,79,FAIR,18,FAIR,16,GOOD,66,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,MOD_EXERCISE_POS_FAIR_SLEEP_MOD_TO_VIG_DURING_DAY_OUTDOOR,,,52.0,50,12.0,7.0,18.0,17.0,56,480,480,NO_CHANGE,NO_CHANGE
2025-12-06,425.0,126.0,238.0,61.0,1.0,0,,77,FAIR,14,FAIR,30,EXCELLENT,56,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,52.0,48,13.0,9.0,18.0,23.0,63,480,500,NO_CHANGE,NO_CHANGE
2025-12-07,407.4,82.0,292.0,34.0,18.0,1,,73,FAIR,8,POOR,20,EXCELLENT,72,FAIR,FAIR,GOOD,NEGATIVE_NOT_ENOUGH_REM,GENERAL_NEG_FAIR_OR_POOR_SLEEP,,,52.0,48,13.0,9.0,17.0,16.0,63,480,480,NO_CHANGE,NO_CHANGE
